mol_idx,bit,IG_auc,IG_faith,grad_auc,grad_faith,grad*input_auc,grad*input_faith,smoothgrad_auc,smoothgrad_faith,occlusion_auc,occlusion_faith,random_auc,random_faith
7,116,0.2647058823529412,0.019192571523557918,0.32352941176470584,0.017509896757985793,0.3529411764705882,0.019218501959168705,0.32352941176470584,0.017478553984309197,0.23529411764705882,-0.021763966623646807,0.6470588235294117,0.009306850659830465
7,841,0.5,0.0431592006319382,0.4444444444444444,0.042965872426672526,0.4444444444444444,0.042965872426672526,0.5,0.042965872426672526,0.05555555555555558,0.04342463126158691,0.05555555555555558,0.026519286446273327
7,214,0.5588235294117647,0.18976435762872748,0.20588235294117652,0.18907928990180758,0.3529411764705882,0.18973941952284198,0.17647058823529416,0.18820124021052229,0.7058823529411764,0.18976652413802717,0.5294117647058824,0.18813026013458511
7,192,1.0,0.13217786385604177,0.6666666666666667,0.12299538281513378,0.7222222222222222,0.13126401905380422,0.7222222222222222,0.12481971106293521,1.0,0.13217786385553945,0.05555555555555558,0.09246063381821538
7,486,0.05555555555555558,0.06058184092728558,0.05555555555555558,0.05991735046577432,0.0,0.060581840079436566,0.05555555555555558,0.05991708929840186,0.5555555555555556,0.06058184091404719,0.9444444444444444,0.037135688769922126
7,362,0.6666666666666667,0.0010562512545186542,0.6111111111111112,0.0009280560996069257,0.4444444444444444,0.0010420701884707266,0.6666666666666667,0.0009554889863282826,0.8333333333333334,-0.0010186729885192098,0.11111111111111116,0.0009831609481996868
7,698,0.8235294117647058,0.010522876069971586,0.4117647058823529,0.010523422410130934,0.6470588235294117,0.010522768807462057,0.7941176470588235,0.010523161425030736,0.5882352941176471,0.010501978152710478,0.1764705882352941,0.00876039578270138
8,33,0.5,0.11873060464859009,0.5,0.11873060464859009,1.0,0.10519665479660034,0.5,0.11873066425323486,1.0,0.10519667466481526,0.4166666666666667,-0.08726990222930908
8,807,0.8333333333333334,0.1993007262547811,0.8333333333333334,0.1993007262547811,0.8333333333333334,0.19930080572764078,0.8333333333333334,0.19930080572764078,0.5,0.14176627000172934,0.5,0.021014690399169922
8,650,0.0,0.5601332088311514,0.16666666666666663,0.5601332088311514,0.0,0.5601332088311514,0.16666666666666663,0.5601332088311514,0.8333333333333334,0.2718036969502767,0.6666666666666667,0.019406676292419434
8,893,0.0,0.31041006247202557,0.16666666666666663,0.7905279646317164,0.0,0.7905279646317164,0.16666666666666669,0.7905279663391411,0.5,0.7905279646317164,0.16666666666666669,0.4465181032816569
8,147,0.2857142857142857,0.45681265989939374,0.0,0.6728306598961353,0.2857142857142857,0.6728306598961353,0.0,0.6728306598961353,0.2857142857142857,0.6728306636214256,0.7142857142857143,0.634939988454183
8,881,1.0,0.3168596651715537,1.0,0.3168596651715537,1.0,0.3168596651715537,1.0,0.3168596651715537,1.0,0.3168596651715537,0.7142857142857143,0.008282025655110678
